index,binder_name,page_number,slot_number,card_name,card_id,set_id,set_name,card_number,card_market_value
2-11-1,2,11,1,Sandshrew,base4-91,base4,Base Set 2,91,0.35
2-11-2,2,11,2,Spearow,base4-92,base4,Base Set 2,92,0.5
2-11-3,2,11,3,Squirtle,base4-93,base4,Base Set 2,93,1.08
2-11-4,2,11,4,Starmie,base4-94,base4,Base Set 2,94,0.5
2-11-5,2,11,5,Staryu,base4-95,base4,Base Set 2,95,0.29
2-11-6,2,11,6,Tangela,base4-96,base4,Base Set 2,96,0.35
2-11-7,2,11,7,Venonat,base4-97,base4,Base Set 2,97,0.6
2-11-8,2,11,8,Voltorb,base4-98,base4,Base Set 2,98,0.53
2-11-9,2,11,9,Vulpix,base4-99,base4,Base Set 2,99,0.83
2-12-1,2,12,1,Weedle,base4-100,base4,Base Set 2,100,0.32
2-12-2,2,12,2,Computer Search,base4-101,base4,Base Set 2,101,2.71
2-12-3,2,12,3,Imposter Professor Oak,base4-102,base4,Base Set 2,102,2.23
2-12-4,2,12,4,Item Finder,base4-103,base4,Base Set 2,103,7.47
2-12-5,2,12,5,Lass,base4-104,base4,Base Set 2,104,2.69
2-12-6,2,12,6,Pokémon Breeder,base4-105,base4,Base Set 2,105,4.39
2-12-7,2,12,7,Pokémon Trader,base4-106,base4,Base Set 2,106,3.23
2-12-8,2,12,8,Scoop Up,base4-107,base4,Base Set 2,107,4.24
2-12-9,2,12,9,Super Energy Removal,base4-108,base4,Base Set 2,108,2.51
2-13-1,2,13,1,Defender,base4-109,base4,Base Set 2,109,0.33
2-13-2,2,13,2,Energy Retrieval,base4-110,base4,Base Set 2,110,0.32
2-13-3,2,13,3,Full Heal,base4-111,base4,Base Set 2,111,0.37
2-13-4,2,13,4,Maintenance,base4-112,base4,Base Set 2,112,0.77
2-13-5,2,13,5,PlusPower,base4-113,base4,Base Set 2,113,0.4
2-13-6,2,13,6,Pokémon Center,base4-114,base4,Base Set 2,114,0.79
2-13-7,2,13,7,Pokédex,base4-115,base4,Base Set 2,115,0.46
2-13-8,2,13,8,Professor Oak,base4-116,base4,Base Set 2,116,1.29
2-13-9,2,13,9,Super Potion,base4-117,base4,Base Set 2,117,0.32
2-14-1,2,14,1,Bill,base4-118,base4,Base Set 2,118,0.33
2-14-2,2,14,2,Energy Removal,base4-119,base4,Base Set 2,119,0.3
2-14-3,2,14,3,Gust of Wind,base4-120,base4,Base Set 2,120,0.35
2-14-4,2,14,4,Poké Ball,base4-121,base4,Base Set 2,121,0.31
2-14-5,2,14,5,Potion,base4-122,base4,Base Set 2,122,0.24
2-14-6,2,14,6,Switch,base4-123,base4,Base Set 2,123,0.32
2-14-7,2,14,7,Double Colorless Energy,base4-124,base4,Base Set 2,124,2.28
2-14-8,2,14,8,Fighting Energy,base4-125,base4,Base Set 2,125,0.29
2-14-9,2,14,9,Fire Energy,base4-126,base4,Base Set 2,126,0.72
2-15-1,2,15,1,Grass Energy,base4-127,base4,Base Set 2,127,0.28
2-15-2,2,15,2,Lightning Energy,base4-128,base4,Base Set 2,128,0.38
2-15-3,2,15,3,Psychic Energy,base4-129,base4,Base Set 2,129,0.3
2-15-4,2,15,4,Water Energy,base4-130,base4,Base Set 2,130,0.26
2-15-5,2,15,5,Charizard,base4-4,base4,Base Set 2,4,304.88
2-15-6,2,15,6,Blastoise,base4-2,base4,Base Set 2,2,107.85
2-15-7,2,15,7,Venusaur,base4-18,base4,Base Set 2,18,73.77
2-15-8,2,15,8,Mewtwo,base4-10,base4,Base Set 2,10,40.96
2-15-9,2,15,9,Zapdos,base4-20,base4,Base Set 2,20,24.31
2-16-1,2,16,1,Raichu,base4-16,base4,Base Set 2,16,33.18
2-16-2,2,16,2,Scyther,base4-17,base4,Base Set 2,17,24.6
2-16-3,2,16,3,Wigglytuff,base4-19,base4,Base Set 2,19,11.0
2-16-4,2,16,4,Pidgeot,base4-14,base4,Base Set 2,14,27.41
2-16-5,2,16,5,Nidoqueen,base4-12,base4,Base Set 2,12,23.02
2-16-6,2,16,6,Nidoking,base4-11,base4,Base Set 2,11,24.14
2-16-7,2,16,7,Alakazam,base4-1,base4,Base Set 2,1,37.01
2-16-8,2,16,8,Gyarados,base4-7,base4,Base Set 2,7,26.94
2-16-9,2,16,9,Chansey,base4-3,base4,Base Set 2,3,14.71
2-17-1,2,17,1,Clefable,base4-5,base4,Base Set 2,5,13.97
2-17-2,2,17,2,Pikachu,base4-87,base4,Base Set 2,87,2.15
2-17-3,2,17,3,Bulbasaur,base4-67,base4,Base Set 2,67,2.24
2-17-4,2,17,4,Charmander,base4-69,base4,Base Set 2,69,1.15
2-17-5,2,17,5,Squirtle,base4-93,base4,Base Set 2,93,1.08
2-17-6,2,17,6,Pidgey,base4-86,base4,Base Set 2,86,0.55
2-17-7,2,17,7,Rattata,base4-89,base4,Base Set 2,89,0.45
2-17-8,2,17,8,Clefairy,base4-6,base4,Base Set 2,6,10.79
2-17-9,2,17,9,Magikarp,base4-50,base4,Base Set 2,50,0.9
2-18-1,2,18,1,Abra,base4-65,base4,Base Set 2,65,0.42
2-18-2,2,18,2,Machop,base4-78,base4,Base Set 2,78,0.42
2-18-3,2,18,3,Magnemite,base4-79,base4,Base Set 2,79,0.39
2-18-4,2,18,4,Gastly,base4-75,base4,Base Set 2,75,0.47
2-18-5,2,18,5,Vulpix,base4-99,base4,Base Set 2,99,0.83
2-18-6,2,18,6,Seaking,base4-60,base4,Base Set 2,60,0.59
2-18-7,2,18,7,Weedle,base4-100,base4,Base Set 2,100,0.32
2-18-8,2,18,8,Caterpie,base4-68,base4,Base Set 2,68,0.43
2-18-9,2,18,9,Poliwag,base4-88,base4,Base Set 2,88,0.4
2-19-1,2,19,1,Poliwhirl,base4-57,base4,Base Set 2,57,0.92
2-19-2,2,19,2,Ivysaur,base4-44,base4,Base Set 2,44,3.6
2-19-3,2,19,3,Wartortle,base4-63,base4,Base Set 2,63,1.74
2-19-4,2,19,4,Charmeleon,base4-35,base4,Base Set 2,35,1.73
2-19-5,2,19,5,Kadabra,base4-46,base4,Base Set 2,46,1.24
2-19-6,2,19,6,Machoke,base4-49,base4,Base Set 2,49,0.54
2-19-7,2,19,7,Kakuna,base4-47,base4,Base Set 2,47,0.71
2-19-8,2,19,8,Metapod,base4-81,base4,Base Set 2,81,0.43
2-19-9,2,19,9,Dragonair,base4-22,base4,Base Set 2,22,8.58
2-20-1,2,20,1,Dratini,base4-38,base4,Base Set 2,38,0.99
2-20-2,2,20,2,Growlithe,base4-42,base4,Base Set 2,42,1.21
2-20-3,2,20,3,Arcanine,base4-33,base4,Base Set 2,33,2.1
2-20-4,2,20,4,Electrode,base4-25,base4,Base Set 2,25,3.87
2-20-5,2,20,5,Electabuzz,base4-24,base4,Base Set 2,24,3.17
2-20-6,2,20,6,Double Colorless Energy,base4-124,base4,Base Set 2,124,2.28
2-20-7,2,20,7,Professor Oak,base4-116,base4,Base Set 2,116,1.29
2-20-8,2,20,8,Bill,base4-118,base4,Base Set 2,118,0.33
2-20-9,2,20,9,Energy Removal,base4-119,base4,Base Set 2,119,0.3
1-1-1,1,1,1,Alakazam,base1-1,base1,Base,1,54.13
1-1-2,1,1,2,Blastoise,base1-2,base1,Base,2,159.26
1-1-3,1,1,3,Chansey,base1-3,base1,Base,3,28.48
1-1-4,1,1,4,Charizard,base1-4,base1,Base,4,458.29
1-1-5,1,1,5,Clefairy,base1-5,base1,Base,5,26.05
1-1-6,1,1,6,Gyarados,base1-6,base1,Base,6,34.98
1-1-7,1,1,7,Hitmonchan,base1-7,base1,Base,7,18.55
1-1-8,1,1,8,Machamp,base1-8,base1,Base,8,0.0
1-1-9,1,1,9,Magneton,base1-9,base1,Base,9,20.24
1-2-1,1,2,1,Mewtwo,base1-10,base1,Base,10,38.91
1-2-2,1,2,2,Nidoking,base1-11,base1,Base,11,28.8
1-2-3,1,2,3,Ninetales,base1-12,base1,Base,12,22.93
1-2-4,1,2,4,Poliwrath,base1-13,base1,Base,13,20.44
1-2-5,1,2,5,Raichu,base1-14,base1,Base,14,43.69
1-2-6,1,2,6,Venusaur,base1-15,base1,Base,15,119.17
1-2-7,1,2,7,Zapdos,base1-16,base1,Base,16,36.66
1-2-8,1,2,8,Beedrill,base1-17,base1,Base,17,3.97
1-2-9,1,2,9,Dragonair,base1-18,base1,Base,18,13.13
1-3-1,1,3,1,Dugtrio,base1-19,base1,Base,19,6.74
1-3-2,1,3,2,Electabuzz,base1-20,base1,Base,20,7.43
1-3-3,1,3,3,Electrode,base1-21,base1,Base,21,6.86
1-3-4,1,3,4,Pidgeotto,base1-22,base1,Base,22,9.42
1-3-5,1,3,5,Arcanine,base1-23,base1,Base,23,3.0
1-3-6,1,3,6,Charmeleon,base1-24,base1,Base,24,1.81
1-3-7,1,3,7,Dewgong,base1-25,base1,Base,25,2.22
1-3-8,1,3,8,Dratini,base1-26,base1,Base,26,1.66
1-3-9,1,3,9,Farfetch'd,base1-27,base1,Base,27,0.93
1-4-1,1,4,1,Growlithe,base1-28,base1,Base,28,0.81
1-4-2,1,4,2,Haunter,base1-29,base1,Base,29,1.36
1-4-3,1,4,3,Ivysaur,base1-30,base1,Base,30,2.19
1-4-4,1,4,4,Jynx,base1-31,base1,Base,31,0.65
1-4-5,1,4,5,Kadabra,base1-32,base1,Base,32,1.29
1-4-6,1,4,6,Kakuna,base1-33,base1,Base,33,1.0
1-4-7,1,4,7,Machoke,base1-34,base1,Base,34,0.65
1-4-8,1,4,8,Magikarp,base1-35,base1,Base,35,1.95
1-4-9,1,4,9,Magmar,base1-36,base1,Base,36,2.65
1-5-1,1,5,1,Nidorino,base1-37,base1,Base,37,1.78
1-5-2,1,5,2,Poliwhirl,base1-38,base1,Base,38,1.29
1-5-3,1,5,3,Porygon,base1-39,base1,Base,39,2.15
1-5-4,1,5,4,Raticate,base1-40,base1,Base,40,2.06
1-5-5,1,5,5,Seel,base1-41,base1,Base,41,1.07
1-5-6,1,5,6,Wartortle,base1-42,base1,Base,42,2.47
1-5-7,1,5,7,Abra,base1-43,base1,Base,43,0.58
1-5-8,1,5,8,Bulbasaur,base1-44,base1,Base,44,1.68
1-5-9,1,5,9,Caterpie,base1-45,base1,Base,45,0.82
1-6-1,1,6,1,Charmander,base1-46,base1,Base,46,1.67
1-6-2,1,6,2,Diglett,base1-47,base1,Base,47,0.42
1-6-3,1,6,3,Doduo,base1-48,base1,Base,48,0.92
1-6-4,1,6,4,Drowzee,base1-49,base1,Base,49,0.42
1-6-5,1,6,5,Gastly,base1-50,base1,Base,50,0.56
1-6-6,1,6,6,Koffing,base1-51,base1,Base,51,0.42
1-6-7,1,6,7,Machop,base1-52,base1,Base,52,0.33
1-6-8,1,6,8,Magnemite,base1-53,base1,Base,53,0.5
1-6-9,1,6,9,Metapod,base1-54,base1,Base,54,0.71
1-7-1,1,7,1,Nidoran ♂,base1-55,base1,Base,55,0.68
1-7-2,1,7,2,Onix,base1-56,base1,Base,56,0.47
1-7-3,1,7,3,Pidgey,base1-57,base1,Base,57,0.67
1-7-4,1,7,4,Pikachu,base1-58,base1,Base,58,3.19
1-7-5,1,7,5,Poliwag,base1-59,base1,Base,59,0.41
1-7-6,1,7,6,Ponyta,base1-60,base1,Base,60,0.43
1-7-7,1,7,7,Rattata,base1-61,base1,Base,61,0.44
1-7-8,1,7,8,Sandshrew,base1-62,base1,Base,62,0.54
1-7-9,1,7,9,Squirtle,base1-63,base1,Base,63,2.8
1-8-1,1,8,1,Starmie,base1-64,base1,Base,64,0.45
1-8-2,1,8,2,Staryu,base1-65,base1,Base,65,0.36
1-8-3,1,8,3,Tangela,base1-66,base1,Base,66,0.48
1-8-4,1,8,4,Voltorb,base1-67,base1,Base,67,1.31
1-8-5,1,8,5,Vulpix,base1-68,base1,Base,68,0.53
1-8-6,1,8,6,Weedle,base1-69,base1,Base,69,0.39
1-8-7,1,8,7,Clefairy Doll,base1-70,base1,Base,70,5.34
1-8-8,1,8,8,Computer Search,base1-71,base1,Base,71,3.07
1-8-9,1,8,9,Devolution Spray,base1-72,base1,Base,72,4.6
1-9-1,1,9,1,Impostor Professor Oak,base1-73,base1,Base,73,5.49
1-9-2,1,9,2,Item Finder,base1-74,base1,Base,74,8.57
1-9-3,1,9,3,Lass,base1-75,base1,Base,75,2.37
1-9-4,1,9,4,Pokémon Breeder,base1-76,base1,Base,76,6.85
1-9-5,1,9,5,Pokémon Trader,base1-77,base1,Base,77,4.48
1-9-6,1,9,6,Scoop Up,base1-78,base1,Base,78,7.11
1-9-7,1,9,7,Super Energy Removal,base1-79,base1,Base,79,3.34
1-9-8,1,9,8,Defender,base1-80,base1,Base,80,1.28
1-9-9,1,9,9,Energy Retrieval,base1-81,base1,Base,81,0.61
1-10-1,1,10,1,Full Heal,base1-82,base1,Base,82,1.37
1-10-2,1,10,2,Maintenance,base1-83,base1,Base,83,2.11
1-10-3,1,10,3,PlusPower,base1-84,base1,Base,84,0.57
1-10-4,1,10,4,Pokémon Center,base1-85,base1,Base,85,1.6
1-10-5,1,10,5,Pokémon Flute,base1-86,base1,Base,86,2.41
1-10-6,1,10,6,Pokédex,base1-87,base1,Base,87,0.44
1-10-7,1,10,7,Professor Oak,base1-88,base1,Base,88,1.08
1-10-8,1,10,8,Revive,base1-89,base1,Base,89,2.17
1-10-9,1,10,9,Super Potion,base1-90,base1,Base,90,0.29
1-11-1,1,11,1,Bill,base1-91,base1,Base,91,0.33
1-11-2,1,11,2,Energy Removal,base1-92,base1,Base,92,0.37
1-11-3,1,11,3,Gust of Wind,base1-93,base1,Base,93,0.23
1-11-4,1,11,4,Potion,base1-94,base1,Base,94,0.2
1-11-5,1,11,5,Switch,base1-95,base1,Base,95,0.3
1-11-6,1,11,6,Double Colorless Energy,base1-96,base1,Base,96,5.78
1-11-7,1,11,7,Fighting Energy,base1-97,base1,Base,97,0.31
1-11-8,1,11,8,Fire Energy,base1-98,base1,Base,98,0.32
1-11-9,1,11,9,Grass Energy,base1-99,base1,Base,99,0.28
1-12-1,1,12,1,Lightning Energy,base1-100,base1,Base,100,0.3
1-12-2,1,12,2,Psychic Energy,base1-101,base1,Base,101,0.35
1-12-3,1,12,3,Water Energy,base1-102,base1,Base,102,0.32
1-12-4,1,12,4,Charizard,base1-4,base1,Base,4,458.29
1-12-5,1,12,5,Blastoise,base1-2,base1,Base,2,159.26
1-12-6,1,12,6,Venusaur,base1-15,base1,Base,15,119.17
1-12-7,1,12,7,Mewtwo,base1-10,base1,Base,10,38.91
1-12-8,1,12,8,Zapdos,base1-16,base1,Base,16,36.66
1-12-9,1,12,9,Raichu,base1-14,base1,Base,14,43.69
1-13-1,1,13,1,Alakazam,base1-1,base1,Base,1,54.13
1-13-2,1,13,2,Chansey,base1-3,base1,Base,3,28.48
1-13-3,1,13,3,Ninetales,base1-12,base1,Base,12,22.93
1-13-4,1,13,4,Machamp,base1-8,base1,Base,8,0.0
1-13-5,1,13,5,Charizard,base1-4,base1,Base,4,458.29
1-13-6,1,13,6,Mewtwo,base1-10,base1,Base,10,38.91
1-13-7,1,13,7,Pikachu,base1-58,base1,Base,58,3.19
1-13-8,1,13,8,Bulbasaur,base1-44,base1,Base,44,1.68
1-13-9,1,13,9,Charmander,base1-46,base1,Base,46,1.67
1-14-1,1,14,1,Squirtle,base1-63,base1,Base,63,2.8
1-14-2,1,14,2,Pidgey,base1-57,base1,Base,57,0.67
1-14-3,1,14,3,Rattata,base1-61,base1,Base,61,0.44
1-14-4,1,14,4,Clefairy,base1-5,base1,Base,5,26.05
1-14-5,1,14,5,Jynx,base1-31,base1,Base,31,0.65
1-14-6,1,14,6,Magikarp,base1-35,base1,Base,35,1.95
1-14-7,1,14,7,Abra,base1-43,base1,Base,43,0.58
1-14-8,1,14,8,Machop,base1-52,base1,Base,52,0.33
1-14-9,1,14,9,Magnemite,base1-53,base1,Base,53,0.5
1-15-1,1,15,1,Koffing,base1-51,base1,Base,51,0.42
1-15-2,1,15,2,Gastly,base1-50,base1,Base,50,0.56
1-15-3,1,15,3,Vulpix,base1-68,base1,Base,68,0.53
1-15-4,1,15,4,Ponyta,base1-60,base1,Base,60,0.43
1-15-5,1,15,5,Drowzee,base1-49,base1,Base,49,0.42
1-15-6,1,15,6,Diglett,base1-47,base1,Base,47,0.42
1-15-7,1,15,7,Weedle,base1-69,base1,Base,69,0.39
1-15-8,1,15,8,Caterpie,base1-45,base1,Base,45,0.82
1-15-9,1,15,9,Nidoran ♂,base1-55,base1,Base,55,0.68
1-16-1,1,16,1,Poliwag,base1-59,base1,Base,59,0.41
1-16-2,1,16,2,Poliwhirl,base1-38,base1,Base,38,1.29
1-16-3,1,16,3,Ivysaur,base1-30,base1,Base,30,2.19
1-16-4,1,16,4,Wartortle,base1-42,base1,Base,42,2.47
1-16-5,1,16,5,Charmeleon,base1-24,base1,Base,24,1.81
1-16-6,1,16,6,Kadabra,base1-32,base1,Base,32,1.29
1-16-7,1,16,7,Machoke,base1-34,base1,Base,34,0.65
1-16-8,1,16,8,Kakuna,base1-33,base1,Base,33,1.0
1-16-9,1,16,9,Metapod,base1-54,base1,Base,54,0.71
1-17-1,1,17,1,Dragonair,base1-18,base1,Base,18,13.13
1-17-2,1,17,2,Dratini,base1-26,base1,Base,26,1.66
1-17-3,1,17,3,Growlithe,base1-28,base1,Base,28,0.81
1-17-4,1,17,4,Arcanine,base1-23,base1,Base,23,3.0
1-17-5,1,17,5,Electrode,base1-21,base1,Base,21,6.86
1-17-6,1,17,6,Electabuzz,base1-20,base1,Base,20,7.43
1-17-7,1,17,7,Starmie,base1-64,base1,Base,64,0.45
1-17-8,1,17,8,Staryu,base1-65,base1,Base,65,0.36
1-17-9,1,17,9,Double Colorless Energy,base1-96,base1,Base,96,5.78
1-18-1,1,18,1,Professor Oak,base1-88,base1,Base,88,1.08
1-18-2,1,18,2,Bill,base1-91,base1,Base,91,0.33
1-18-3,1,18,3,Energy Removal,base1-92,base1,Base,92,0.37
1-18-4,1,18,4,Pokédex,base1-87,base1,Base,87,0.44
1-18-5,1,18,5,Switch,base1-95,base1,Base,95,0.3
1-18-6,1,18,6,Potion,base1-94,base1,Base,94,0.2
1-18-7,1,18,7,Super Potion,base1-90,base1,Base,90,0.29
1-18-8,1,18,8,Pokémon Center,base1-85,base1,Base,85,1.6
1-18-9,1,18,9,Energy Retrieval,base1-81,base1,Base,81,0.61
1-19-1,1,19,1,Fire Energy,base1-98,base1,Base,98,0.32
1-19-2,1,19,2,Lightning Energy,base1-100,base1,Base,100,0.3
1-19-3,1,19,3,Water Energy,base1-102,base1,Base,102,0.32
1-19-4,1,19,4,Grass Energy,base1-99,base1,Base,99,0.28
1-19-5,1,19,5,Psychic Energy,base1-101,base1,Base,101,0.35
1-19-6,1,19,6,Fighting Energy,base1-97,base1,Base,97,0.31
1-19-7,1,19,7,Double Colorless Energy,base1-96,base1,Base,96,5.78
1-19-8,1,19,8,Charizard,base1-4,base1,Base,4,458.29
1-19-9,1,19,9,Blastoise,base1-2,base1,Base,2,159.26
1-20-1,1,20,1,Venusaur,base1-15,base1,Base,15,119.17
1-20-2,1,20,2,Mewtwo,base1-10,base1,Base,10,38.91
1-20-3,1,20,3,Zapdos,base1-16,base1,Base,16,36.66
1-20-4,1,20,4,Gyarados,base1-6,base1,Base,6,34.98
1-20-5,1,20,5,Poliwrath,base1-13,base1,Base,13,20.44
1-20-6,1,20,6,Nidoking,base1-11,base1,Base,11,28.8
1-20-7,1,20,7,Hitmonchan,base1-7,base1,Base,7,18.55
1-20-8,1,20,8,Magneton,base1-9,base1,Base,9,20.24
1-20-9,1,20,9,Chansey,base1-3,base1,Base,3,28.48
